user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
magiclinks,6719504280841520134,MagicLinks,6962345419481419014,#passingthephone challenge ft. The Influencer Partnerships Team! Tag your work friends #MagicLinks #workfam #passingthephonechallenge,1621047370,36,https://www.tiktok.com/@magiclinks/video/6962345419481419014?lang=en,10,0,0,266
magiclinks,6719504280841520134,MagicLinks,6901428651720543493,Earn 💰 as your followers shop #magiclinks #commission #monetize #makemoney #earnmoney #money #influencer #creator,1606864108,6,https://www.tiktok.com/@magiclinks/video/6901428651720543493?lang=en,9,1,0,1565
magiclinks,6719504280841520134,MagicLinks,6938097185846217989,Hopefully this is helpful! #tiktoktips #magiclinks #QandA #monetizetiktok #tiktokfeature,1615401637,24,https://www.tiktok.com/@magiclinks/video/6938097185846217989?lang=en,9,2,0,93
magiclinks,6719504280841520134,MagicLinks,6932901907769937157,Wanna earn money on #socialmedia ? Click the link in our bio & sign up to become a #MagicLinks Creator today! #zodiac #zodiacsigns  #astrology,1614192025,15,https://www.tiktok.com/@magiclinks/video/6932901907769937157?lang=en,9,0,0,87
magiclinks,6719504280841520134,MagicLinks,6893233784670457094,Don’t miss out! Apply today-link in bio! #MagicLinks #MotivationMonday #commission #influencer #monetize #creators #earnmoney #money,1604956184,7,https://www.tiktok.com/@magiclinks/video/6893233784670457094?lang=en,9,0,0,187
magiclinks,6719504280841520134,MagicLinks,6938878328044588294,Worth the run! #tiktoktips #magiclinks #trackstarchallenge #trackstar #monetizetiktok,1615583510,11,https://www.tiktok.com/@magiclinks/video/6938878328044588294?lang=en,9,1,0,100
magiclinks,6719504280841520134,MagicLinks,6889552493785697541,"Listen up, influencers! #magiclinks #influencer #monetize #earnmoney #views #commission #creator",1604098977,28,https://www.tiktok.com/@magiclinks/video/6889552493785697541?lang=en,9,0,0,88
magiclinks,6719504280841520134,MagicLinks,6935921678170049798,Apply with the link in the bio! #magiclinks #monetize #tiktoktips #getpaid #getpaid,1614895112,23,https://www.tiktok.com/@magiclinks/video/6935921678170049798?lang=en,9,15,2,102
magiclinks,6719504280841520134,MagicLinks,6896979464295681286,Who knows the feeling? #MagicLinks #alivebutimdead #money #monetize #influencer #creator #editing #commission,1605828203,6,https://www.tiktok.com/@magiclinks/video/6896979464295681286?lang=en,8,0,1,275
magiclinks,6719504280841520134,MagicLinks,6937402452190792966,Stitch this and tell us you’re an influencer without telling us you’re an influencer! #tiktoktips #magiclinks #monetizetiktok #getpaid #socialmedia ￼￼,1615239881,13,https://www.tiktok.com/@magiclinks/video/6937402452190792966?lang=en,8,10,0,115
magiclinks,6719504280841520134,MagicLinks,6889232660288310533,Apply today and start earning! ￼#magiclinks #influencer #monetize #earnmoney #creators #YouWantMore #creator,1604024512,36,https://www.tiktok.com/@magiclinks/video/6889232660288310533?lang=en,8,2,0,114
magiclinks,6719504280841520134,MagicLinks,6945218037649820933,Hope these tips helped! #magiclinks #tiktoktips #howtomakemoney #monetize #magiclinkspartner,1617059590,29,https://www.tiktok.com/@magiclinks/video/6945218037649820933?lang=en,8,0,0,225
magiclinks,6719504280841520134,MagicLinks,6948922584691985670,Go viral on TikTok by discovering the hottest new trends! Check out the full video on our YouTube channel @magiclinks ✌️#tiktok #monetize #magiclinks,1617922123,30,https://www.tiktok.com/@magiclinks/video/6948922584691985670?lang=en,8,0,1,136
magiclinks,6719504280841520134,MagicLinks,6901796862194453765,Don’t make these mistakes! #MagicLinks #dont #influencer #youtuber #youtube #mistakes #creator,1606949839,11,https://www.tiktok.com/@magiclinks/video/6901796862194453765?lang=en,8,0,0,196
magiclinks,6719504280841520134,MagicLinks,6964853614070353157,"MORE MAGICLINKS, MORE MONEY! Enough said. #MagicLinks #linkinbio #socialmedia #influencer #dancetok",1621631353,7,https://www.tiktok.com/@magiclinks/video/6964853614070353157?lang=en,8,0,2,265
magiclinks,6719504280841520134,MagicLinks,6945924231049874693,Hope these tips helped! #howtomakemoney #tiktoktips #magiclinks #monetize #brands,1617224013,9,https://www.tiktok.com/@magiclinks/video/6945924231049874693?lang=en,8,0,0,243
magiclinks,6719504280841520134,MagicLinks,6938858851227815173,You don’t have to have 100k + subs to hit SALES LIKE THIS! Apply to become a MagicLinks creator! #careeradvice #nowlookatthis #MagicLinks,1615578975,9,https://www.tiktok.com/@magiclinks/video/6938858851227815173?lang=en,8,0,1,110
magiclinks,6719504280841520134,MagicLinks,6903627636694699270,The best feeling! #MagicLinks #commission #influencer #creator #money #earnmoney #PersonalFinance,1607376103,7,https://www.tiktok.com/@magiclinks/video/6903627636694699270?lang=en,8,0,0,193
magiclinks,6719504280841520134,MagicLinks,6943964736803376390,What’s the point of dropping links if you aren’t making any $$$ ??? Link in bio to apply #MagicLinks #homebusiness #stylehacks #sheearnedit,1616767784,11,https://www.tiktok.com/@magiclinks/video/6943964736803376390?lang=en,8,0,0,101
magiclinks,6719504280841520134,MagicLinks,6967471734731574534,Tips & tricks from our Influencer Team! Listen up & take notes 😜 #socialmedia #selftaught #MagicLinks #linkinbio #tiktokhacks,1622240932,49,https://www.tiktok.com/@magiclinks/video/6967471734731574534?lang=en,8,1,0,219
magiclinks,6719504280841520134,MagicLinks,6963316184410295557,here's how to use gifted products to pay your bills and get 👏 those 👏 brand deals 👏 #magiclinks #monetization #productpromotion #branddeals,1621273392,30,https://www.tiktok.com/@magiclinks/video/6963316184410295557?lang=en,8,0,0,229
magiclinks,6719504280841520134,MagicLinks,6916600175058488581,Monetize with MagicLinks #monetize #MagicLinks #influencer #creator #earnmoney #foryou,1610396482,12,https://www.tiktok.com/@magiclinks/video/6916600175058488581?lang=en,7,0,0,201
magiclinks,6719504280841520134,MagicLinks,6893334930663722245,It’s holiday content time!❄️ #MagicLinks #MotivationMonday #commission #influencer #creator #monetize,1604979649,19,https://www.tiktok.com/@magiclinks/video/6893334930663722245?lang=en,7,1,0,161
magiclinks,6719504280841520134,MagicLinks,6904824638090595589,The audacity #magiclinks #tiktoker #comedy #influencer #funny,1607654783,5,https://www.tiktok.com/@magiclinks/video/6904824638090595589?lang=en,7,0,0,120
magiclinks,6719504280841520134,MagicLinks,6904788710701681925,Link to apply in our bio! #MagicLinks #monetize #commission #influencer #creator #makemoney #money,1607646416,15,https://www.tiktok.com/@magiclinks/video/6904788710701681925?lang=en,7,0,0,179
magiclinks,6719504280841520134,MagicLinks,6938471168961744133,Now let’s hope this blows up #magiclinks #tiktoktips #larray #addisonrae #charlidamelio,1615488711,31,https://www.tiktok.com/@magiclinks/video/6938471168961744133?lang=en,7,15,2,96
magiclinks,6719504280841520134,MagicLinks,6945548006070521094,Go get that bag 💰👏🏽✨ #howtomakemoney #tiktoktips #magiclinks #monetize #brands,1617136416,10,https://www.tiktok.com/@magiclinks/video/6945548006070521094?lang=en,7,2,0,105
magiclinks,6719504280841520134,MagicLinks,6891479413762919686,Link in bio to apply #magiclinks #influencers #creators #monetize #money #commission #earnmoney,1604547629,10,https://www.tiktok.com/@magiclinks/video/6891479413762919686?lang=en,7,0,0,141
magiclinks,6719504280841520134,MagicLinks,6889620419003895045,Sweater weather is here! #sweaterweather #magiclinks #monetize #influencer #creator #commission #money,1604114794,8,https://www.tiktok.com/@magiclinks/video/6889620419003895045?lang=en,7,0,0,153
magiclinks,6719504280841520134,MagicLinks,6969745322654420230,thank me later😌 #magiclinks #BestSeatInTheHouse #socialmedia #hashtags #instagram,1622770294,8,https://www.tiktok.com/@magiclinks/video/6969745322654420230?lang=en,8,0,0,211
magiclinks,6719504280841520134,MagicLinks,6969058556423245062,payday baby 💰 #magiclinks #firstofthemonth #katespadenyhappydance #foryou #influencers,1622610396,6,https://www.tiktok.com/@magiclinks/video/6969058556423245062?lang=en,8,0,1,216
magiclinks,6719504280841520134,MagicLinks,6906261547115400453,Where’s the love?? #comedy #ijustwanttobeapreciated #bestfriend #funny #magiclinks,1607989339,14,https://www.tiktok.com/@magiclinks/video/6906261547115400453?lang=en,6,0,1,164
magiclinks,6719504280841520134,MagicLinks,6904403173365026053,Listen up YouTubers! #youtube #youtuber #creator #influence #growing #magiclinks #advice #tips,1607556656,41,https://www.tiktok.com/@magiclinks/video/6904403173365026053?lang=en,6,0,0,178
magiclinks,6719504280841520134,MagicLinks,6901072918260862214,Apply today using the link in our bio! #monetize #MagicLinks #commission #influencer #creator #links #earnmoney,1606781271,5,https://www.tiktok.com/@magiclinks/video/6901072918260862214?lang=en,6,2,1,181
magiclinks,6719504280841520134,MagicLinks,6970171829998734597,using different location tags in your area will help you reach different audiences! 🌎 #magiclinks #socialmedia #DADMOVES #PerfectAsWeAre #fyp,1622869602,9,https://www.tiktok.com/@magiclinks/video/6970171829998734597?lang=en,9,0,0,220
magiclinks,6719504280841520134,MagicLinks,6969451862730738950,what are you waiting for?! 💰#magiclinks #BestSeatInTheHouse #foryou #socialmediahacks #influencers,1622701974,8,https://www.tiktok.com/@magiclinks/video/6969451862730738950?lang=en,6,0,0,212
magiclinks,6719504280841520134,MagicLinks,6969674591732059397,not getting brand deals? stop making these 3 mistakes today #influencertips #magiclinks #contentcreator,1622753824,30,https://www.tiktok.com/@magiclinks/video/6969674591732059397?lang=en,6,0,0,197
magiclinks,6719504280841520134,MagicLinks,6907044765951380741,Monetize your content with MagicLinks ✨ #influencer #MagicLinks #Productivity #monetize #earnmoney,1608171696,10,https://www.tiktok.com/@magiclinks/video/6907044765951380741?lang=en,5,0,1,188
magiclinks,6719504280841520134,MagicLinks,6920656196705864965,We know the secret! #monetize #MagicLinks #influencer #earnmoney,1611340852,9,https://www.tiktok.com/@magiclinks/video/6920656196705864965?lang=en,5,0,0,215
magiclinks,6719504280841520134,MagicLinks,6894003866887539974,Start making money with MagicLinks! #MagicLinks #monetize #influencer #creator #money #earnmoney #commission,1605135390,12,https://www.tiktok.com/@magiclinks/video/6894003866887539974?lang=en,5,0,0,102
magiclinks,6719504280841520134,MagicLinks,6889166234143755526,Link is always in our bio! #magiclinks #influencer #creator #monetize #money #YouWantMore #6figures ￼#incom,1604009043,10,https://www.tiktok.com/@magiclinks/video/6889166234143755526?lang=en,5,0,0,120
magiclinks,6719504280841520134,MagicLinks,6936190056600227078,What a STUNNING lineup of our top earners who are actively using MagicLinks on YouTube in 2021!#lifestyle #whenwomenwin #blackcreatives #magiclinks,1614957599,20,https://www.tiktok.com/@magiclinks/video/6936190056600227078?lang=en,4,0,1,100
magiclinks,6719504280841520134,MagicLinks,6969259714743913734,we had so much fun with our besties at S.P.Y.’s community garden! 🪴 #magiclinks #volunteer #plantsoftiktok #gardeningtiktok,1622657228,29,https://www.tiktok.com/@magiclinks/video/6969259714743913734?lang=en,4,0,1,212
magiclinks,6719504280841520134,MagicLinks,6961159475214519558,we have to callout the biggest mistake you’re are making as a Creator - not linking! 🔗 #magiclinks #passiveincome #creatortips #influencertips,1620771245,15,https://www.tiktok.com/@magiclinks/video/6961159475214519558?lang=en,4,0,0,171
magiclinks,6719504280841520134,MagicLinks,6895925919261740294,Don’t let it be you! Apply today! #magiclinks #creator #monetize #makemoney #influencer #commission #money,1605582905,21,https://www.tiktok.com/@magiclinks/video/6895925919261740294?lang=en,4,4,0,168
magiclinks,6719504280841520134,MagicLinks,6891767486539156741,The best feeling #magiclinks #influencers #creators #creatorsquad #monetize #UnwrapTheDeals #commission #earnmoney,1604614697,8,https://www.tiktok.com/@magiclinks/video/6891767486539156741?lang=en,4,0,0,174
magiclinks,6719504280841520134,MagicLinks,6888812797698772229,Get started with MagicLinks today! #monetize #creator #influencer #money #moneymoves #magiclinks #income #earnmoney,1603926751,30,https://www.tiktok.com/@magiclinks/video/6888812797698772229?lang=en,4,0,0,108
magiclinks,6719504280841520134,MagicLinks,6964445167424244998,lessons from an MVP of MUAs @paintedbyspencer #magiclinks #creatorspotlight #influencers #beautysecrets #beautyinfluencer,1621536254,29,https://www.tiktok.com/@magiclinks/video/6964445167424244998?lang=en,4,1,0,257
magiclinks,6719504280841520134,MagicLinks,6898495872972246278,Get a bag with MagicLinks💰 #MagicLinks #monetize #influencer #creator #money #links #commission #6figures #earnmoney,1606181265,31,https://www.tiktok.com/@magiclinks/video/6898495872972246278?lang=en,4,0,0,160
yazigijaragua,6835259962870432774,Yázigi Jaraguá do Sul,6877993869275827458,#magiclinks #yazigijaragua #jaraguadosul #ingles,1601407742,6,https://www.tiktok.com/@yazigijaragua/video/6877993869275827458?lang=en,7,0,1,184
magiclinks,6719504280841520134,MagicLinks,6902189590791212293,Don’t forget to apply! #MagicLinks #influencer #creator #youtube #commission #monetize #earnmoney,1607041278,37,https://www.tiktok.com/@magiclinks/video/6902189590791212293?lang=en,3,0,0,93
